run_id,condition,response,task_id,complexity,group
59,3,2,36.0,medium,C
59,3,4,58.0,high,C
59,3,3,15.0,low,C
59,3,5,10.0,low,C
59,3,4,21.0,medium,C
59,3,4,5.0,low,C
59,3,4,27.0,medium,C
59,3,3,63.0,high,C
59,3,5,45.0,high,C
59,3,2,41.0,high,C
59,3,4,4.0,low,C
59,3,3,52.0,high,C
61,1,5,33.0,medium,A
61,1,5,13.0,low,A
61,1,4,11.0,low,A
61,1,6,2.0,low,A
61,1,6,25.0,medium,A
61,1,3,46.0,high,A
61,1,5,19.0,medium,A
61,1,2,50.0,high,A
61,1,4,53.0,high,A
61,1,6,30.0,medium,A
61,1,5,62.0,high,A
61,1,3,44.0,high,A
61,1,3,39.0,medium,A
61,1,4,59.0,high,A
61,1,1,7.0,low,A
61,1,3,22.0,medium,A
64,3,4,5.0,low,C
64,3,3,45.0,high,C
64,3,3,56.0,high,C
64,3,3,58.0,high,C
64,3,4,21.0,medium,C
64,3,5,38.0,medium,C
64,3,5,32.0,medium,C
64,3,3,27.0,medium,C
64,3,3,15.0,low,C
64,3,5,63.0,high,C
64,3,4,4.0,low,C
64,3,3,52.0,high,C
64,3,3,41.0,high,C
64,3,5,10.0,low,C
64,3,4,20.0,medium,C
64,3,3,36.0,medium,C
62,2,3,60.0,high,B
62,2,2,1.0,low,B
62,2,5,8.0,low,B
62,2,4,14.0,low,B
62,2,4,43.0,high,B
62,2,3,51.0,high,B
